id,balance,sex,education,marriage,age,default
99,50000,2,3,1,22,1
100,20000,1,2,1,38,2
101,140000,1,1,2,32,1
102,380000,2,1,2,30,1
103,480000,1,1,1,63,1
104,50000,2,3,2,22,2
105,60000,2,2,2,26,1
106,70000,2,2,2,24,1
107,80000,2,2,1,36,1
108,350000,1,1,2,52,1
109,130000,1,2,2,38,1
110,360000,1,2,1,35,1
111,330000,2,1,1,31,1
112,50000,1,3,1,47,1
113,280000,1,2,1,41,1
114,100000,2,1,2,24,1
115,50000,1,2,2,41,1
116,30000,1,1,2,24,2
117,240000,1,1,2,28,1
118,80000,1,2,2,26,2
119,400000,1,2,1,34,1
120,240000,2,2,2,38,1
121,50000,1,3,2,37,2
122,450000,1,1,1,40,2
123,110000,2,1,1,48,1
124,310000,2,2,1,35,2
125,20000,1,1,2,27,1
126,20000,1,2,2,23,1
127,200000,1,3,2,52,1
128,180000,1,1,1,36,2
129,50000,1,2,1,51,2
130,60000,1,3,1,55,1
131,30000,2,1,2,23,1
132,240000,1,1,2,41,1
133,420000,1,2,1,34,1
134,330000,1,3,1,46,1
135,30000,2,2,2,22,1
136,240000,1,2,1,34,1
137,150000,1,1,2,27,1
138,210000,2,2,1,33,1
139,50000,2,3,1,51,2
140,50000,1,1,2,24,1
141,240000,1,1,2,47,2
142,180000,1,2,2,28,1
143,50000,1,2,2,23,1
144,170000,1,2,2,29,1
145,20000,1,1,2,29,1
146,50000,1,1,2,28,1
147,170000,2,2,2,27,2
148,200000,1,1,2,34,1
149,80000,2,2,1,23,1
150,260000,2,1,1,60,1
151,140000,1,2,1,32,1
152,80000,1,1,2,25,1
153,350000,1,1,2,41,1
154,280000,2,2,1,56,1
155,30000,2,3,2,26,1
156,140000,1,1,1,34,1
157,200000,2,1,2,37,1
158,200000,2,3,2,30,1
159,210000,1,3,1,45,2
160,50000,1,3,1,57,1
161,30000,1,1,2,41,1
162,50000,1,2,2,27,1
163,290000,1,3,1,47,1
164,250000,2,1,1,34,1
165,60000,2,2,1,46,1
166,110000,2,1,2,27,1
167,370000,1,1,2,50,1
168,100000,1,2,1,27,1
169,90000,2,2,1,35,1
170,50000,2,2,2,22,1
171,270000,1,2,2,37,1
172,300000,2,1,2,30,1
173,50000,2,2,2,22,1
174,50000,2,1,2,24,2
175,360000,1,1,2,29,1
176,130000,1,3,1,56,2
177,80000,1,1,2,30,1
178,50000,1,2,2,30,1
179,20000,2,2,2,22,1
180,80000,2,2,1,29,1
181,240000,1,1,2,37,1
182,80000,2,3,2,35,1
183,500000,2,1,1,47,1
184,60000,2,2,1,24,2
185,20000,1,2,2,25,1
186,100000,2,2,1,38,2
187,360000,2,1,2,32,1
188,200000,2,3,2,47,2
189,130000,2,2,1,34,1
190,20000,2,2,2,31,1
191,310000,1,1,2,32,1
192,60000,2,1,2,27,2
193,180000,2,1,2,29,1
194,180000,2,1,2,24,1
195,50000,1,2,1,36,1
196,50000,2,1,2,24,2
197,150000,2,2,1,34,1
198,20000,2,1,2,22,1
199,500000,2,1,1,34,1
200,30000,2,3,2,22,2
201,180000,2,1,1,38,1
202,140000,1,1,2,31,1
203,140000,2,1,2,26,1
204,120000,1,2,2,26,1
205,360000,2,2,1,48,1
206,20000,1,3,1,43,1
207,100000,1,1,1,47,1
208,210000,2,2,1,41,2
209,80000,2,2,2,24,2
210,330000,2,1,1,50,1
211,220000,1,1,2,24,1
212,210000,2,1,1,38,2
213,40000,2,3,1,43,1
214,30000,1,2,2,39,1
215,470000,1,2,2,27,1
216,30000,1,3,1,42,1
217,240000,2,2,1,36,2
218,80000,1,2,2,36,1
219,110000,2,3,0,31,1
220,310000,2,1,2,38,1
221,360000,2,1,1,40,2
222,330000,2,3,2,45,1
223,300000,2,2,2,35,1
224,320000,2,2,2,33,1
225,50000,2,3,2,37,2
226,170000,2,1,2,28,1
227,350000,1,3,1,44,1
228,20000,1,2,1,37,1
229,50000,1,2,2,23,2
230,20000,2,3,2,24,1
231,50000,2,1,2,24,1
232,20000,1,2,2,23,2
233,50000,1,2,1,26,1
234,190000,1,2,2,34,2
235,60000,2,2,1,33,1
236,80000,1,1,2,35,1
237,150000,2,2,2,27,1
238,210000,2,1,2,31,1
239,240000,2,3,1,50,2
240,140000,2,2,3,41,2
241,60000,2,1,2,28,1
242,50000,1,1,2,39,1
243,50000,2,2,2,27,1
244,180000,2,1,2,32,1
245,30000,2,1,2,40,1
246,20000,2,2,2,40,1
247,250000,2,2,1,75,1
248,100000,2,2,2,27,1
249,330000,1,1,2,25,1
250,50000,1,3,1,46,1
251,50000,2,2,2,26,1
252,30000,1,2,2,28,1
253,140000,2,2,2,26,2
254,160000,2,1,2,28,1
255,400000,2,2,2,29,1
256,50000,1,2,1,25,1
257,140000,2,2,1,48,1
258,160000,2,2,1,33,1
259,100000,2,3,1,43,1
260,220000,1,1,1,48,2
261,510000,2,1,2,29,1
262,50000,1,2,2,29,1
263,160000,2,1,1,38,1
264,230000,2,1,2,37,1
265,80000,2,1,2,37,1
266,150000,2,2,1,25,1
267,10000,1,3,2,23,1
268,130000,2,3,2,49,2
269,40000,2,1,2,48,1
270,50000,1,2,2,27,2
271,100000,1,3,2,32,1
272,120000,1,1,1,34,1
273,260000,2,1,2,58,2
274,200000,2,2,2,33,1
275,360000,2,2,2,28,2
276,70000,2,2,2,36,1
277,460000,1,1,1,40,2
278,50000,2,1,2,26,1
279,50000,1,3,1,33,1
280,250000,2,2,1,31,1
281,30000,2,1,2,27,1
282,270000,1,2,1,44,1
283,180000,2,3,2,30,1
284,100000,2,1,2,28,1
285,230000,2,3,1,32,1
286,210000,2,1,1,46,1
287,210000,1,1,2,38,1
288,440000,2,2,1,46,1
289,100000,2,2,2,25,2
290,240000,2,2,1,46,1
291,280000,1,1,2,33,2
292,50000,2,2,2,22,2
293,30000,1,2,1,43,1
294,10000,1,2,2,27,2
295,130000,1,1,2,29,1
296,200000,1,1,2,31,1
297,120000,2,2,1,29,1
298,210000,2,2,1,36,1
299,280000,2,1,1,36,1
300,300000,1,1,2,34,2
301,100000,1,2,2,37,1
302,440000,2,1,2,36,1
303,50000,2,3,1,40,1
304,20000,2,1,2,25,2
305,200000,2,1,2,27,1
306,110000,2,2,2,26,1
307,500000,2,2,1,36,1
308,300000,2,2,1,27,1
309,30000,1,3,1,55,2
310,60000,2,1,2,27,1
311,400000,2,2,1,38,1
312,180000,2,2,1,34,1
313,20000,1,1,2,40,1
314,200000,2,3,1,49,2
315,100000,1,1,2,27,1
316,60000,1,2,2,23,2
317,110000,2,2,2,36,1
318,260000,2,3,1,53,1
319,50000,2,3,1,46,1
320,180000,1,2,2,29,1
321,110000,1,2,2,29,2
322,340000,2,1,2,27,1
323,50000,1,2,2,24,1
324,230000,2,2,1,28,2
325,360000,2,2,2,32,1
326,210000,1,2,2,43,1
327,220000,2,2,1,41,2
328,60000,2,2,1,34,2
329,340000,1,2,1,55,1
330,150000,1,1,1,40,1
331,200000,2,2,1,37,2
332,130000,2,2,2,40,2
333,60000,2,1,2,28,1
334,400000,2,2,1,43,1
335,20000,1,1,2,27,1
336,190000,2,1,2,28,1
337,260000,2,1,2,30,1
338,140000,2,2,2,31,1
339,50000,2,2,1,31,2
340,120000,2,1,2,34,1
341,240000,2,2,2,30,1
342,50000,1,2,2,36,1
343,200000,2,1,2,29,1
344,180000,1,1,1,39,1
345,180000,2,1,2,26,1
346,160000,2,1,2,29,1
347,100000,2,2,2,26,1
348,50000,2,2,2,29,2
349,140000,2,2,2,31,1
350,30000,2,2,2,26,2
351,90000,1,1,2,26,1
352,200000,1,1,1,36,1
353,380000,1,1,2,30,2
354,80000,2,2,2,43,1
355,50000,1,3,1,58,1
356,180000,1,2,1,45,2
357,240000,2,2,2,26,1
358,380000,1,2,2,34,1
359,110000,2,4,2,24,1
360,260000,1,1,1,34,1
361,500000,2,2,2,23,2
362,320000,2,2,2,30,1
363,50000,1,2,2,32,1
364,110000,1,1,1,40,2
365,230000,2,1,2,35,1
366,330000,2,2,1,56,1
367,50000,2,2,1,61,1
368,10000,1,2,2,24,1
369,300000,1,1,1,40,1
370,20000,2,2,1,32,2
371,180000,1,2,1,36,2
372,160000,1,1,2,30,1
373,90000,2,1,2,34,1
374,30000,1,3,3,54,1
375,180000,1,1,1,46,1
376,30000,1,3,1,58,1
377,30000,1,2,1,43,1
378,140000,2,1,2,28,1
379,210000,1,1,2,30,1
380,50000,1,2,2,31,2
381,130000,2,2,2,29,1
382,50000,2,2,1,37,2
383,140000,1,3,1,36,1
384,170000,2,2,2,28,2
385,80000,1,2,2,25,1
386,410000,2,5,1,42,1
387,80000,2,1,2,29,1
388,80000,1,3,1,73,2
389,150000,1,2,1,43,1
390,260000,1,1,1,30,2
391,350000,1,1,1,38,1
392,280000,2,2,1,39,2
393,310000,1,2,1,44,1
394,140000,2,2,2,29,1
395,360000,1,1,1,51,1
396,140000,2,1,2,27,1
397,100000,1,1,2,38,1
398,50000,2,2,2,22,1
399,210000,2,2,1,30,1
400,120000,2,2,2,25,1
401,240000,1,1,2,29,1
402,60000,2,3,3,42,1
403,150000,1,1,2,41,2
404,30000,1,2,1,48,1
405,160000,2,1,2,29,2
406,200000,1,1,1,52,1
407,120000,2,2,1,25,1
408,500000,1,1,1,37,1
409,320000,2,1,2,27,1
410,280000,1,1,2,31,1
411,60000,2,1,2,23,2
412,200000,2,1,1,38,1
413,230000,2,1,1,32,1
414,230000,2,2,2,27,2
415,480000,2,3,1,41,1
416,50000,2,3,1,35,1
417,200000,2,1,2,31,1
418,50000,2,1,2,30,1
419,50000,1,2,1,48,1
420,260000,2,1,2,36,2
421,30000,1,1,2,24,1
422,440000,2,1,2,29,1
423,230000,2,2,2,38,1
424,200000,1,2,1,38,2
425,490000,2,2,1,30,1
426,80000,2,2,1,32,1
427,20000,2,3,2,49,2
428,170000,2,1,2,31,2
429,70000,1,1,2,27,1
430,210000,2,2,2,33,1
431,90000,2,2,2,25,1
432,390000,2,1,2,27,2
433,110000,2,1,2,29,1
434,580000,2,1,1,36,1
435,360000,1,3,1,55,1
436,270000,2,2,1,32,2
437,60000,2,1,2,27,1
438,110000,1,3,1,37,1
439,50000,2,1,1,25,1
440,80000,2,1,2,23,2
441,50000,1,2,2,23,1
442,100000,1,1,2,32,1
443,30000,2,1,2,26,1
444,200000,2,1,2,27,1
445,240000,1,1,2,44,2
446,220000,1,2,2,34,1
447,160000,2,1,2,28,1
448,180000,2,1,1,53,1
449,200000,1,4,1,42,1
450,140000,2,3,1,30,1
451,380000,1,1,1,51,2
452,600000,1,1,1,53,2
453,260000,1,2,2,37,1
454,200000,2,1,2,26,1
455,80000,1,2,2,42,1
456,40000,1,2,2,39,1
457,130000,1,3,2,39,1
458,50000,1,1,2,32,1
459,230000,2,2,1,41,1
460,70000,1,2,1,48,2
461,180000,2,2,1,38,1
462,80000,2,2,1,36,1
463,290000,2,2,2,26,1
464,230000,2,1,2,28,1
465,170000,2,3,3,56,1
466,230000,1,1,1,59,2
467,220000,1,1,2,38,2
468,230000,1,2,2,32,1
469,500000,1,2,1,38,1
470,90000,2,1,1,41,1
471,390000,2,3,2,35,2
472,400000,2,2,2,41,1
473,180000,1,2,1,34,1
474,60000,1,3,1,38,1
475,120000,2,2,1,32,1
476,60000,2,2,2,29,1
477,50000,1,1,2,44,1
478,70000,2,2,1,37,1
479,500000,2,1,1,38,1
480,200000,1,1,2,31,1
481,250000,2,2,1,40,1
482,140000,1,2,2,26,2
483,70000,2,2,2,28,1
484,90000,1,3,1,48,1
485,100000,2,2,1,43,1
486,190000,1,2,1,31,1
487,230000,2,1,1,42,1
488,320000,1,2,1,39,1
489,220000,2,2,1,36,2
490,260000,2,1,1,34,1
491,90000,2,2,2,32,1
492,30000,2,2,1,43,1
493,260000,1,2,2,30,1
494,170000,2,2,2,28,1
495,80000,2,1,1,28,2
496,50000,1,1,1,41,1
497,200000,2,3,2,47,1
498,20000,1,2,2,23,1
499,250000,2,1,1,49,1
500,20000,1,1,1,38,1
501,30000,2,2,1,38,1
502,90000,2,2,1,35,1
503,230000,2,6,2,46,1
504,130000,2,1,1,33,2
505,30000,1,6,1,53,1
506,160000,1,1,2,35,1
507,500000,2,2,2,43,1
508,180000,2,2,2,28,1
509,80000,2,2,1,30,1
510,120000,1,1,2,26,1
511,130000,1,2,1,31,1
512,120000,2,2,2,35,2
513,360000,1,1,2,28,1
514,50000,1,2,2,23,2
515,20000,2,2,2,23,1
516,100000,1,3,1,56,1
517,70000,1,3,1,32,1
518,50000,1,2,1,47,1
519,10000,2,2,2,22,1
520,290000,2,1,1,34,1
521,30000,2,1,1,31,1
522,410000,2,2,2,27,1
523,360000,1,1,2,28,2
524,140000,2,2,1,42,2
525,210000,2,1,2,32,1
526,220000,2,2,2,27,1
527,20000,1,2,2,27,1
528,620000,2,2,1,45,2
529,360000,1,1,2,26,1
530,20000,2,2,2,21,1
531,50000,1,2,2,23,1
532,50000,1,2,3,30,1
533,10000,1,2,2,46,2
534,100000,2,3,1,50,2
535,50000,1,1,2,26,1
536,60000,1,2,2,25,1
537,440000,2,1,2,35,1
538,120000,1,2,1,44,1
539,50000,2,1,2,52,1
540,110000,2,2,1,40,1
541,200000,2,1,2,38,1
542,150000,2,1,2,28,1
543,30000,2,2,1,36,2
544,100000,2,1,2,24,1
545,360000,2,1,1,34,1
546,390000,2,1,2,31,1
547,220000,2,1,1,41,2
548,160000,2,2,2,25,1
549,230000,2,1,2,28,1
550,120000,1,1,2,27,1
551,100000,1,3,1,52,2
552,190000,2,1,2,41,2
553,50000,1,1,1,56,2
554,240000,2,1,1,42,1
555,40000,2,2,2,24,1
556,630000,2,2,1,47,1
557,160000,2,1,1,33,1
558,110000,2,2,2,32,1
559,20000,1,2,2,29,1
560,210000,2,3,1,53,1
561,270000,1,1,2,34,1
562,360000,2,2,2,52,1
563,60000,2,2,1,42,1
564,360000,1,2,2,38,1
565,390000,2,1,2,45,1
566,250000,2,3,2,35,1
567,90000,2,1,2,24,2
568,360000,1,1,2,28,1
569,50000,1,3,2,26,1
570,270000,2,1,1,40,1
571,200000,2,1,2,29,1
572,50000,2,2,2,23,1
573,350000,1,1,2,33,1
574,160000,2,2,2,60,2
575,80000,2,3,1,49,1
576,290000,1,1,1,53,2
577,270000,2,1,2,28,1
578,80000,1,1,2,31,1
579,50000,1,2,2,36,1
580,30000,1,2,1,35,1
581,30000,1,2,2,28,2
582,90000,1,2,2,33,1
583,160000,1,1,2,26,1
584,80000,2,3,2,53,1
585,50000,1,2,2,42,1
586,20000,2,1,2,25,1
587,220000,1,1,1,43,2
588,210000,1,3,2,25,2
589,130000,2,2,2,29,1
590,260000,2,2,1,31,1
591,230000,2,1,1,30,1
592,160000,1,1,2,34,1
593,50000,1,1,1,35,1
594,80000,1,2,1,32,1
595,110000,1,3,2,46,1
596,200000,1,1,1,43,1
597,360000,1,2,2,29,1
598,210000,2,3,2,31,1
599,80000,2,2,2,24,1
600,300000,2,2,1,36,2
601,310000,2,2,1,43,1
602,30000,1,3,1,59,2
603,170000,1,1,1,53,1
604,140000,2,2,2,28,1
605,180000,2,2,2,31,1
606,50000,1,1,2,34,1
607,50000,2,2,1,36,1
608,110000,2,1,2,24,1
609,450000,2,3,1,36,1
610,200000,2,2,1,34,1
611,220000,1,1,2,43,1
612,360000,2,1,2,29,2
613,50000,1,2,1,37,1
614,40000,1,2,2,23,1
615,190000,2,2,1,37,1
616,150000,1,1,2,33,1
617,200000,2,1,1,37,1
618,270000,2,2,1,56,1
619,60000,1,1,2,25,1
620,200000,2,2,1,39,1
621,150000,2,2,1,39,1
622,180000,2,2,2,28,1
623,90000,2,1,2,27,1
624,360000,2,2,1,37,1
625,90000,2,1,2,24,1
626,20000,2,2,2,24,1
627,70000,1,1,1,46,1
628,230000,1,1,1,39,1
629,30000,1,3,1,48,1
630,200000,2,3,3,45,1
631,100000,1,3,2,49,1
632,50000,2,2,2,23,1
633,20000,2,3,1,25,1
634,210000,2,2,1,47,1
635,110000,1,3,1,56,1
636,20000,2,3,1,44,1
637,50000,2,3,1,49,1
638,50000,1,2,1,41,1
639,400000,2,1,2,40,1
640,170000,1,2,2,31,1
641,280000,1,2,1,42,1
642,130000,2,3,1,28,1
643,210000,2,2,2,32,1
644,370000,1,2,2,28,1
645,30000,2,2,1,31,1
646,150000,1,3,2,39,1
647,60000,1,3,1,31,2
648,80000,2,2,2,24,1
649,280000,2,2,1,44,2
650,20000,2,2,2,46,1
651,270000,1,1,2,32,1
652,240000,2,2,2,26,1
653,20000,2,1,2,22,1
654,450000,2,1,1,42,2
655,10000,1,2,2,33,1
656,280000,1,2,1,39,2
657,290000,2,3,2,27,1
658,190000,2,1,2,28,2
659,80000,2,1,2,23,1
660,280000,2,2,2,28,1
661,160000,2,1,1,33,1
662,90000,1,2,1,40,2
663,140000,2,1,2,37,1
664,50000,1,1,2,22,1
665,40000,2,2,1,32,1
666,130000,2,3,1,43,1
667,70000,2,3,1,27,1
668,30000,2,2,1,35,1
669,100000,2,3,1,35,1
670,20000,2,1,1,30,2
671,30000,2,2,2,34,1
672,20000,1,2,1,34,2
673,100000,2,1,2,28,2
674,30000,1,2,2,25,2
675,320000,2,1,1,41,1
676,90000,1,3,2,42,2
677,190000,1,2,2,40,2
678,200000,1,1,2,28,1
679,300000,2,2,2,31,1
680,30000,2,1,2,56,1
681,110000,2,2,3,45,1
682,230000,2,1,2,29,1
683,230000,2,1,1,35,1
684,310000,2,2,2,28,1
685,320000,1,1,1,40,1
686,360000,1,1,1,47,1
687,20000,2,3,1,41,2
688,170000,2,2,2,27,1
689,140000,1,1,1,40,1
690,80000,1,2,2,32,1
691,150000,1,2,2,35,1
692,170000,1,2,2,27,1
693,200000,2,2,1,29,2
694,70000,1,1,2,30,1
695,320000,1,2,1,37,1
696,150000,2,1,2,29,1
697,50000,2,1,1,34,1
698,90000,2,2,2,34,1
699,280000,1,1,1,41,1
700,300000,2,1,2,31,1
701,400000,2,2,2,40,1
702,200000,2,1,1,27,1
703,10000,2,3,2,22,2
704,50000,2,2,3,30,2
705,30000,2,2,3,22,1
706,50000,1,1,2,26,2
707,50000,1,2,1,38,1
708,30000,2,3,1,46,1
709,20000,1,2,2,24,1
710,20000,1,2,2,49,1
711,50000,1,1,3,49,1
712,30000,2,2,1,42,1
713,360000,2,1,1,30,1
714,170000,1,2,1,42,1
715,400000,2,1,2,31,1
716,50000,2,2,1,49,1
717,160000,2,2,2,27,1
718,70000,2,2,1,33,2
719,150000,2,1,1,35,1
720,80000,2,2,2,48,1
721,30000,2,2,2,22,1
722,10000,1,2,2,22,2
723,180000,2,1,2,27,1
724,320000,1,1,1,47,1
725,80000,2,2,2,34,1
726,10000,1,2,1,45,2
727,360000,2,2,2,39,1
728,450000,1,2,2,33,1
729,330000,2,2,2,29,1
730,60000,1,1,2,29,2
731,50000,2,3,2,26,1
732,200000,1,2,1,38,1
733,120000,1,1,2,34,1
734,160000,2,1,1,37,1
735,110000,1,2,1,57,1
736,70000,2,3,1,50,1
737,150000,2,3,2,28,1
738,610000,2,1,2,31,1
739,110000,2,1,2,25,1
740,80000,2,2,2,25,2
741,170000,2,2,1,33,1
742,110000,2,1,2,30,1
743,140000,2,1,1,51,1
744,70000,1,1,2,51,1
745,260000,2,2,1,46,1
746,170000,1,3,2,38,1
747,50000,2,2,1,34,1
748,300000,2,3,1,34,2
749,150000,2,1,2,31,2
750,50000,2,2,2,25,2
751,50000,2,2,1,26,1
752,90000,2,1,2,25,1
753,50000,1,2,2,26,2
754,500000,2,2,2,43,1
755,470000,2,2,1,36,1
756,230000,1,2,2,58,1
757,140000,2,2,2,26,1
758,230000,2,2,1,30,2
759,420000,2,2,2,31,1
760,30000,2,2,2,24,1
761,50000,2,2,2,52,2
762,140000,2,2,2,24,1
763,260000,2,2,1,35,1
764,90000,2,3,2,29,1
765,240000,2,2,1,33,1
766,510000,2,1,2,35,1
767,110000,2,2,1,35,1
768,210000,2,1,2,28,1
769,220000,1,2,1,40,1
770,200000,2,1,1,35,1
771,360000,2,2,2,53,1
772,260000,1,1,2,44,1
773,20000,1,2,1,33,1
774,120000,2,2,1,32,1
775,50000,2,1,2,33,1
776,60000,2,1,2,26,1
777,200000,1,1,2,26,1
778,20000,1,2,2,26,1
779,50000,2,1,1,32,2
780,50000,2,2,2,31,1
781,230000,1,1,2,29,1
782,50000,1,2,1,27,1
783,100000,2,1,2,28,2
784,210000,2,1,1,42,2
785,230000,2,2,1,32,2
786,500000,2,1,2,26,1
787,370000,2,1,2,38,1
788,230000,2,1,1,35,1
789,80000,1,2,2,29,1
790,60000,2,2,2,29,1
791,30000,2,2,2,51,1
792,70000,1,1,2,27,1
793,410000,1,1,2,32,1
794,280000,2,3,1,40,1
795,50000,2,1,1,34,1
796,100000,2,2,1,30,1
797,230000,2,1,2,29,1
798,50000,2,1,2,22,1
799,100000,2,1,2,48,1
800,210000,2,2,1,35,1
801,400000,1,1,2,37,1
802,20000,1,2,2,25,2
803,50000,2,3,1,44,1
804,230000,2,1,2,28,1
805,220000,1,2,2,29,1
806,300000,2,1,1,36,1
807,80000,2,2,2,23,1
808,20000,2,3,2,36,2
809,190000,2,1,2,26,1
810,160000,2,2,0,37,1
811,120000,2,1,3,44,1
812,700000,2,1,1,39,1
813,140000,2,1,2,24,1
814,300000,2,3,1,29,1
815,120000,1,3,1,33,2
816,280000,2,2,1,39,1
817,70000,1,3,1,51,2
818,20000,2,3,2,24,1
819,150000,2,2,1,45,1
820,60000,1,1,2,30,1
821,200000,2,3,0,51,1
822,50000,2,2,2,24,2
823,150000,1,2,1,50,1
824,20000,2,1,2,22,1
825,40000,1,1,2,27,2
826,170000,2,2,2,33,1
827,50000,2,2,1,24,1
828,10000,1,2,2,37,1
829,200000,2,2,1,58,1
830,50000,2,2,1,48,1
831,320000,1,1,2,28,1
832,20000,2,3,1,24,1
833,470000,2,2,1,27,2
834,230000,2,3,2,30,1
835,20000,2,1,2,23,1
836,30000,2,3,2,53,2
837,80000,2,2,2,23,1
838,110000,2,2,1,55,1
839,420000,1,2,1,34,1
840,500000,1,1,1,43,2
841,80000,2,2,2,22,1
842,350000,2,2,1,31,1
843,30000,2,2,1,32,1
844,110000,2,2,2,33,2
845,500000,1,3,1,39,1
846,490000,2,1,1,38,1
847,300000,2,2,1,34,1
848,50000,1,2,3,42,2
849,150000,1,3,1,37,2
850,80000,2,3,1,57,1
851,40000,2,2,2,23,1
852,30000,1,2,2,32,1
853,50000,1,1,1,37,1
854,140000,2,2,2,23,1
855,50000,2,3,2,49,1
856,30000,2,2,2,25,1
857,40000,2,1,2,29,2
858,100000,2,3,1,43,2
859,130000,1,2,2,29,1
860,20000,2,2,2,27,1
861,50000,1,1,2,26,1
862,260000,1,1,1,41,1
863,30000,2,3,2,52,2
864,10000,2,2,1,31,1
865,200000,1,1,2,32,1
866,30000,2,2,1,46,1
867,180000,2,2,2,35,1
868,100000,1,1,2,35,1
869,140000,2,2,1,39,1
870,290000,2,2,2,34,1
871,20000,2,2,3,52,1
872,80000,2,3,1,40,1
873,500000,2,3,1,38,1
874,180000,1,1,1,45,1
875,20000,2,3,1,40,1
876,30000,2,2,1,25,1
877,150000,1,1,2,33,1
878,280000,2,2,2,27,1
879,50000,2,2,1,43,1
880,20000,2,2,1,43,1
881,200000,1,1,2,30,1
882,210000,2,2,1,49,2
883,230000,2,1,2,38,1
884,50000,1,3,2,57,1
885,50000,1,3,2,55,2
886,70000,2,2,2,23,1
887,310000,1,1,2,30,1
888,180000,2,2,1,30,1
889,90000,2,2,2,24,1
890,390000,1,2,2,28,1
891,150000,2,3,1,34,1
892,400000,1,2,2,37,1
893,80000,2,2,1,32,1
894,320000,1,1,2,27,1
895,240000,2,2,1,37,2
896,200000,1,1,2,31,1
897,110000,1,1,3,55,2
898,170000,2,1,2,28,2
899,90000,2,3,3,51,2
900,200000,1,1,1,36,1
901,360000,1,1,2,30,1
902,140000,2,1,1,36,1
903,220000,1,2,2,25,1
904,100000,1,3,1,50,1
905,80000,2,2,2,40,1
906,30000,2,2,2,27,1
907,50000,1,1,2,30,2
908,120000,2,2,2,26,1
909,50000,1,1,2,27,1
910,360000,2,1,2,27,1
911,90000,2,1,2,25,1
912,500000,1,1,2,32,1
913,140000,2,3,1,46,1
914,30000,1,3,1,45,1
915,70000,1,3,1,30,1
916,200000,1,1,1,39,1
917,350000,1,1,1,48,1
918,120000,1,1,2,32,2
919,240000,1,1,2,46,1
920,90000,2,1,2,23,1
921,260000,2,1,2,33,1
922,50000,2,1,2,24,1
923,110000,1,1,1,40,1
924,20000,2,1,2,24,1
925,30000,2,2,2,24,1
926,180000,1,1,2,27,2
927,20000,1,2,1,46,1
928,50000,2,2,2,22,1
929,180000,2,1,2,36,1
930,200000,1,1,1,34,1
